Stock Guide,Setor,Ticker,Rating,Market Cap (R$ mn),Volume Negociado (R$ mn) Semana,Volume Negociado (R$ mn) Média (12M),Volume Negociado (R$ mn) % da Média,Preço (R$) Último,Preço (R$) Alvo,Preço (R$) Upside (%),Performance (%) Semana,Performance (%) Mês,Performance (%) Ano,P/L 2025E,P/L 2026E,EV/EBITDA 2025E,EV/EBITDA 2026E,P/VP 2025E,P/VP 2026E,Dividend Yield (%) 2025E,Dividend Yield (%) 2026E,Dívida Líquida/EBITDA 2025E,Dívida Líquida/EBITDA 2026E,Roe (%) 2025E,Roe (%) 2026E,Lucro líquido (R$mn) 2025E,Lucro líquido (R$mn) 2026E,Lucro líquido (R$mn) 2027E,ROE 2025E,ROE 2026E,ROE 2027E,Dividend Yield (%) 2025E (extra),Dividend Yield (%) 2026E (extra),Dividend Yield (%) 2027E,4. Dados fundamentalistas (12M) EPS,4.Dados fundamentalistas (12M) LPA,Dívida líquida 2025E,Dívida líquida 2026E,Dívida líquida 2027E,Dívida Líquida/EBITDA 2025E (extra),Dívida Líquida/EBITDA 2026E (extra),Dívida Líquida/EBITDA 2027E,5.Destaques financeiros (R$ mn) Receita,5.Destaques financeiros (R$ mn) Lucro Bruto,5.Destaques financeiros (R$ mn) Mg. Bruta (%),5.Destaques financeiros (R$ mn) EBITDA,5.Destaques financeiros (R$ mn) Mg. EBITDA (%),5.Destaques financeiros (R$ mn) LAIR,5.Destaques financeiros (R$ mn) Lucro Líquido,5.Destaques financeiros (R$ mn) Mg. Líquida (%),5.Destaques financeiros (R$ mn) ROE,5.Destaques financeiros (R$ mn) Mg. LAIR (%)
BB Seguridade,Setor financeiro (Ex-Bancos),BBSE3,Neutral,69379.020848,126.104994,195.38732671,0.6454103043600622,35.74,41,0.14717403469501944,-0.00083869164155,-0.011341632089,-0.011341632089,7.8979374146463,7.6447157018856,n.a.,n.a.,5.159017311313877,4.832872141109616,0.113953,0.117728,n.a.,n.a.,0.6752652348531829,0.6528198130725632,9050.4642221454,9350.2496086766,0.0,0.6752652348531829,0.6528198130725632,,0.113953,0.117728,,,,,,,,,,,,,,,,,,,
Wiz,Setor financeiro (Ex-Bancos),WIZC3,Buy,1402.3868631,3.04028,2.986775092,1.0179139394001617,8.77,11,0.2542759407069557,-0.00044550408256,-0.016816143497,-0.016816143497,6.008412498858283,5.166535681975854,1.691417331050682,1.618650696943435,1.7101717191808337,1.4673231975933894,0.083216656659065,0.09677664701254277,-0.2969071857301947,-0.29836514775668327,0.306435,0.305711,233.4038921939,271.4365968733,,0.306435,0.305711,,0.083216656659065,0.09677664701254277,,,,,,,,,,,,,,,,,,,
Porto Seguro,Setor financeiro (Ex-Bancos),PSSA3,Neutral,30910.33738,50.647532,97.294192388,0.5205606907966557,48.13,52,0.08040723041761888,0.015992516775,-0.0047559966915,-0.0047559966915,8.61197960865496,8.32359813736752,n.a.,n.a.,1.7949328238576951,1.6208668511052782,0.058058,0.06007,n.a.,n.a.,0.21982977225901462,0.20465484870527323,3624.641326209,3750.221559816,0.0,0.21982977225901462,0.20465484870527323,,0.058058,0.06007,,,,,,,,,,,,,,,,,,,
Meliuz,Setor financeiro (Ex-Bancos),CASH3,Buy,433.64238182,7.983527,16.795642876,0.47533321939156004,3.83,8,1.0887728459530024,-0.049627791563,-0.017948717948,-0.017948717948,7.427649597126986,6.584784756142653,3.149779492126848,2.578776490426353,1.014437861045851,0.9187979340240711,0.03575121634464752,0.0342037062924282,-1.0679249489921372,-1.2687602830667295,0.09331110000000001,0.113119,44.8891617328,50.6350589135,,0.09331110000000001,0.113119,,0.03575121634464752,0.0342037062924282,,,,,,,,,,,,,,,,,,,
Pagseguro Digital Ltd.,Setor financeiro (Ex-Bancos),PAGS34,Buy,15375.075448751997,0.52358149,1.1349256356,0.46133550391008543,10.42,15,0.43953934740882916,-0.028890959925,-0.039631336406,-0.039631336406,10,8.2,2.6,1.9,1.2,1.1,0,0,0.2559661497680728,0.14174797556781643,0.134,0.139,2272.51756451857,2589.5768724979466,,0.13994,0.148623,,0.08879461861427095,0.08458047920372286,,,,,,,,,,,,,,,,,,,
Dotz SA,Setor financeiro (Ex-Bancos),DOTZ3,Buy,59.948901,0.185739,0.077253868,2.4042679649386614,4.5,9,1,-0.1,0.28571428571,0.28571428571,n.a.,n.a.,2.505396072803322,n.a.,-0.22496737972993916,n.a.,0,n.a.,0.47438792378343164,n.a.,0.00176421,n.a.,-0.4656495388,,,0.00176421,,,0.0,,,,,,,,,,,,,,,,,,,,
G2d Invest,Setor financeiro (Ex-Bancos),G2DI33,Buy,199.04755124,0.03075323,0.05571377436,0.5519861174955586,1.73,6.2,2.5838150289017343,0.048484848485,0.011695906432,0.011695906432,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVC Brasil,Varejo,CVCB3,Neutral,1146.7175764,42.393297,29.618905148,1.4312918316247278,2.2,3,0.36363636363636354,0.062801932369,0.018518518518,0.018518518518,11.444935014475574,6.158141699184876,2.143407442237071,1.44428720954587,1.8421449265654046,1.4179734581149976,0,0,-0.047446462543531485,-0.3900518272226794,0.175044,0.260219,,,,,,,0.0,0.0,,,,-25.094158011491857,-246.39104313727438,,-0.047446462543531485,-0.3900518272226794,,,,,,,,,,,
Magazine Luiza,Varejo,MGLU3,Buy,6839.5399435,100.365295,224.03525036,0.4479888537126368,8.83,14,0.5855039637599093,0.0023243243249,-0.012304250559,-0.012304250559,8.72113826183025,5.200300758183139,2.98215532357157,2.319512073093649,0.527870106889213,0.47791988482293146,0,0,1.2737848384415802,0.7646586438062467,0.06242,0.0964664,,,,,,,0.0,0.0,,,,4875.598018983113,3215.822153484232,,1.2737848384415802,0.7646586438062467,,,,,,,,,,,
Grupo Natura,Varejo,NATU3,Neutral,9891.2448,38.636045,108.29830878,0.3567557557938072,7.2,18,1.5,-0.021739130435,-0.03355704698,-0.03355704698,6.8920355084147,5.3069303317505,2.2624463819654,1.6321982201014,0.5769662261066532,0.5408085087205372,0,0,-1.0427429764300635,-1.2737445664256664,0.0861835,0.105202,,,,,,,0.0,0.0,,,,-4735.273795656706,-6578.993429038272,,-1.0427429764300635,-1.2737445664256664,,,,,,,,,,,
